clip	phoneme	word	mid	site_f0	site_f1	site_f2	site_f3	site_res	trk_p	trk_f1	trk_f2	trk_f3
all	K	blank	26.810000000000002		560.87	1384.11	2340.28	0.30767	161.67	903.738	1639.77	2754.55
all	L	pool	27.3	185.44	444.35	950.55	3024.11	0.33314	176.363	304.156	1444.9699999999998	2588.605
ashley	AH0	the	1.2650000000000001	220.51	307.23	1529.09	2775.43	0.27187	221.423	253.377	1532.29	2641.39
ashley	M	moon	1.345	221.56	226.22	1284.68	2649.29	0.25856	220.2015	233.137	1638.41	2660.29
ashley	UW1	moon	1.525	242.05	362.13	970.53	2243.87	0.29832	242.914	333.531	1270.78	2552.7
ashley	N	moon	1.69	210.38	228.27	946.44	2091.39	0.12025	211.844	238.954	1655.73	2699.06
ashley	IH1	is	1.77	224.71	372.55	2064.22	2918.21	0.30602	213.041	291.71	1929.2	2894.15
ashley	IH0	in	1.93	215.54	277.63	1976.68	3008.76	0.28438	216.687	248.373	1928.38	3077.04
ashley	N	in	1.9949999999999999	204.84	227.59	1154.49	2833.0	0.16287	205.654	220.01	1626.915	2659.48
ashley	D	doubt	2.085		1113.42	2321.53	3101.18	1.0	176.614	480.397	2110.38	3031.81
ashley	T	doubt	2.44		242.66	1814.4	2514.9	0.30839	205.8465	324.5075	1542.815	2636.02
ashley	OW1	over	2.54	206.41	356.3	948.85	2674.67	0.02157	205.082	344.041	991.709	2643.9
ashley	V	over	2.625		261.65	2110.8	2824.78	0.42679	169.82999999999998	299.501	1559.11	2600.91
ashley	ER0	over	2.715	203.23	381.53	1226.94	2157.17	0.22868	204.86	351.081	1290.9299999999998	2333.885
ashley	W	whether	2.79	182.57	221.34	920.06	2580.92	0.11827	185.444	327.063	1441.03	2592.37
ashley	EH1	whether	2.855	194.93	596.45	1580.98	2734.67	0.48754	196.066	460.3895	1442.33	2733.0600000000004
ashley	DH	whether	2.915	184.34	220.81	1697.55	2966.51	0.30574	164.617	902.4929999999999	2093.795	3233.815
ashley	ER0	whether	2.985	190.2	297.45	1792.65	2284.33	0.24763	192.8795	348.06	1752.04	2447.24
ashley	IY0	be	3.2199999999999998	197.1	318.63	2489.19	3046.01	0.46788	197.11599999999999	267.2305	2485.67	3066.96
ashley	AH0	a	3.29	186.01	468.51	1915.6	2682.35	0.60419	187.295	323.807	1705.78	2604.44
ashley	M	man	3.3899999999999997	177.8	227.16	1843.88	2530.1	0.39476	177.452	190.119	1597.86	2638.81
ashley	AE1	man	3.58	180.54	781.36	1889.6	2774.79	0.66899	179.27949999999998	386.402	1640.24	2736.8
